t[s]          U[mV]
 5             299 
 10            299 
 15            299 
 20            299 
 25            299 
 30            299 
 35            299 
 40            299 
 45            299 
 50            299 
 55            299 
 60            299 
 65            299 
 70            299 
 75            299 
 80            299 
 85            299 
 90            301 
 95            305 
 100           294 
 105           294 
 110           293 
 115           294 
 120           293 
 125           294 
 130           293 
 135           422 
 140           429 
 145           428 
 150           277 
 155           274 
 160           274 
 165           273 
 170           273 
 175           273 
 180           395 
 185           273 
 190           276 
 195           271 
 200           275 
 205           275 
 210           275 
 215           274 
 220           274 
 225           274 
 230           273 
 235           273 
 240           273 
 245           273 
 250           273 
 255           273 
 260           273 
 265           272 
 270           272 
 275           272 
 280           272 
 285           272 
 290           273 
 295           273 
 300           273 
 305           272 
 310           268 
 315           269 
 320           269 
 325           269 
 330           269 
 335           269 
 340           269 
 345           269 
 350           269 
 355           269 
 360           269 
 365           269 
 370           269 
 375           269 
 380           269 
 385           269 
 390           269 
 395           269 
 400           269 
 405           269 
 410           269 
 415           269 
 420           269 
 425           269 
 430           269 
 435           269 
 440           269 
 445           269 
 450           269 
 455           269 
 460           269 
 465           269 
 470           269 
 475           269 
 480           269 
 485           269 
 490           269 
 495           269 
 500           269 
 505           269 
 510           269 
 515           269 
 520           269 
 525           269 
 530           269 
 535           269 
 540           269 
 545           269 
 550           269 
 555           269 
 560           269 
 565           269 
 570           269 
 575           269 
 580           269 
 585           269 
 590           269 
 595           269 
 600           269 
 605           270 
 610           270 
 615           269 
 620           270 
 625           270 
 630           270 
 635           270 
 640           270 
 645           270 
 650           270 
 655           270 
 660           270 
 665           270 
 670           270 
 675           270 
 680           270 
 685           270 
 690           270 
 695           270 
 700           270 
 705           270 
 710           270 
 715           270 
 720           270 
 725           270 
 730           270 
 735           270 
 740           270 
 745           270 
 750           270 
 755           270 
 760           270 
 765           270 
 770           270 
 775           270 
 780           270 
 785           270 
 790           270 
 795           270 
 800           270 
 805           270 
 810           270 
 815           270 
 820           270 
 825           270 
 830           270 
 835           270 
 840           270 
 845           270 
 850           270 
 855           270 
 860           270 
 865           270 
 870           270 
 875           270 
 880           270 
 885           270 
 890           270 
 895           270 
 900           270 
 905           270 
 910           270 
 915           270 
 920           270 
 925           270 
 930           270 
 935           270 
 940           270 
 945           270 
 950           270 
 955           270 
 960           270 
 965           270 
 970           270 
 975           270 
 980           270 
 985           270 
 990           270 
 995           270 
 1000          270 
 1005          270 
 1010          270 
 1015          274 
 1020          274 
 1025          273 
 1030          273 
 1035          273 
 1040          273 
 1045          273 
 1050          273 
 1055          273 
 1060          272 
 1065          273 
 1070          272 
 1075          272 
 1080          272 
 1085          272 
 1090          272 
 1095          273 
 1100          272 
 1105          272 
 1110          273 
 1115          272 
 1120          273 
 1125          273 
 1130          273 
 1135          273 
 1140          273 
 1145          273 
 1150          273 
 1155          273 
 1160          273 
 1165          273 
 1170          273 
 1175          273 
 1180          273 
 1185          273 
 1190          273 
 1195          273 
 1200          273 
 1205          273 
 1210          273 
 1215          273 
 1220          273 
 1225          273 
 1230          273 
 1235          272 
 1240          273 
 1245          273 
 1250          273 
 1255          273 
 1260          273 
 1265          273 
 1270          273 
 1275          273 
 1280          273 
 1285          272 
 1290          273 
 1295          273 
 1300          272 
 1305          272 
 1310          272 
 1315          272 
 1320          272 
 1325          272 
 1330          272 
 1335          272 
 1340          272 
 1345          272 
 1350          272 
 1355          272 
 1360          272 
 1365          272 
 1370          272 
 1375          272 
 1380          272 
 1385          272 
 1390          272 
 1395          272 
 1400          272 
 1405          272 
 1410          272 
 1415          272 
 1420          272 
 1425          272 
 1430          272 
 1435          272 
 1440          272 
 1445          272 
 1450          272 
 1455          272 
 1460          272 
 1465          272 
 1470          272 
 1475          272 
 1480          272 
 1485          272 
 1490          272 
 1495          272 
 1500          272 
 1505          272 
 1510          272 
 1515          272 
 1520          272 
 1525          272 
 1530          272 
 1535          272 
 1540          272 
 1545          272 
 1550          272 
 1555          272 
 1560          272 
 1565          272 
 1570          272 
 1575          272 
 1580          272 
 1585          272 
 1590          272 
 1595          272 
 1600          272 
 1605          272 
 1610          272 
 1615          272 
 1620          272 
 1625          272 
 1630          272 
 1635          272 
 1640          272 
 1645          272 
 1650          272 
 1655          272 
 1660          272 
 1665          272 
 1670          272 
 1675          272 
 1680          272 
 1685          272 
 1690          272 
 1695          272 
 1700          272 
 1705          272 
 1710          272 
 1715          272 
 1720          272 
 1725          272 
 1730          272 
 1735          272 
 1740          271 
 1745          272 
 1750          272 
 1755          271 
 1760          271 
 1765          272 
 1770          271 
 1775          272 
 1780          272 
 1785          272 
 1790          271 
 1795          271 
 1800          271 
 1805          272 
 1810          271 
 1815          271 
 1820          271 
 1825          271 
 1830          271 
 1835          271 
 1840          271 
 1845          271 
 1850          271 
 1855          271 
 1860          271 
 1865          271 
 1870          271 
 1875          271 
 1880          271 
 1885          271 
 1890          271 
 1895          271 
 1900          271 
 1905          271 
 1910          271 
 1915          271 
 1920          271 
 1925          271 
 1930          271 
 1935          271 
 1940          271 
 1945          271 
 1950          271 
 1955          271 
 1960          271 
 1965          271 
 1970          271 
 1975          271 
 1980          271 
 1985          271 
 1990          271 
 1995          271 
 2000          271 
 2005          271 
 2010          271 
 2015          271 
 2020          271 
 2025          271 
 2030          271 
 2035          271 
 2040          271 
 2045          271 
 2050          271 
 2055          271 
 2060          271 
 2065          271 
 2070          271 
 2075          271 
 2080          271 
 2085          271 
 2090          271 
 2095          271 
 2100          271 
 2105          271 
 2110          271 
 2115          271 
 2120          271 
 2125          271 
 2130          271 
 2135          271 
 2140          271 
 2145          271 
 2150          271 
 2155          271 
 2160          271 
 2165          271 
 2170          271 
 2175          271 
 2180          271 
 2185          271 
 2190          271 
 2195          271 
 2200          271 
 2205          271 
 2210          271 
 2215          271 
 2220          271 
 2225          271 
 2230          271 
 2235          271 
 2240          271 
 2245          271 
 2250          271 
 2255          271 
 2260          271 
 2265          271 
 2270          271 
 2275          271 
 2280          271 
 2285          271 
 2290          271 
 2295          271 
 2300          271 
 2305          271 
 2310          271 
 2315          271 
 2320          271 
 2325          271 
 2330          271 
 2335          271 
 2340          271 
 2345          271 
 2350          271 
 2355          270 
 2360          271 
 2365          270 
 2370          271 
 2375          270 
 2380          270 
 2385          271 
 2390          271 
 2395          270 
 2400          271 
 2405          271 
 2410          270 
 2415          270 
 2420          271 
 2425          271 
 2430          270 
 2435          270 
 2440          270 
 2445          270 
 2450          270 
 2455          270 
 2460          270 
 2465          270 
 2470          270 
 2475          270 
 2480          270 
 2485          270 
 2490          270 
 2495          270 
 2500          270 
 2505          270 
 2510          270 
 2515          270 
 2520          270 
 2525          270 
 2530          270 
 2535          270 
 2540          270 
 2545          270 
 2550          268 
 2555          268 
 2560          268 
 2565          268 
 2570          268 
 2575          268 
 2580          268 
 2585          268 
 2590          268 
 2595          268 
 2600          268 
 2605          268 
 2610          268 
 2615          268 
 2620          268 
 2625          268 
 2630          268 
 2635          268 
 2640          268 
 2645          268 
 2650          268 
 2655          268 
 2660          268 
 2665          268 
 2670          268 
 2675          268 
 2680          268 
 2685          268 
 2690          268 
 2695          268 
 2700          268 
 2705          268 
 2710          268 
 2715          268 
 2720          268 
 2725          268 
 2730          268 
 2735          268 
 2740          268 
 2745          268 
 2750          268 
 2755          268 
 2760          268 
 2765          268 
 2770          268 
 2775          268 
 2780          268 
 2785          268 
 2790          268 
 2795          268 
 2800          268 
 2805          268 
 2810          268 
 2815          268 
 2820          268 
 2825          268 
 2830          268 
 2835          268 
 2840          268 
 2845          268 
 2850          268 
 2855          268 
 2860          268 
 2865          268 
 2870          268 
 2875          268 
 2880          268 
 2885          268 
 2890          268 
 2895          268 
 2900          268 
 2905          268 
 2910          268 
 2915          268 
 2920          268 
 2925          268 
 2930          268 
 2935          268 
 2940          268 
 2945          267 
 2950          268 
 2955          268 
 2960          267 
 2965          267 
 2970          267 
 2975          267 
 2980          267 
 2985          267 
 2990          268 
 2995          267 
 3000          267 
 3005          267 
 3010          267 
 3015          267 
 3020          267 
 3025          267 
 3030          267 
 3035          267 
 3040          267 
 3045          267 
 3050          267 
 3055          267 
 3060          267 
 3065          267 
 3070          267 
 3075          267 
 3080          267 
 3085          267 
 3090          267 
 3095          267 
 3100          267 
 3105          267 
 3110          267 
 3115          267 
 3120          267 
 3125          267 
 3130          267 
 3135          267 
 3140          267 
 3145          267 
 3150          267 
 3155          267 
 3160          267 
 3165          267 
 3170          267 
 3175          267 
 3180          267 
 3185          267 
 3190          267 
 3195          267 
 3200          267 
 3205          267 
 3210          267 
 3215          267 
 3220          267 
 3225          267 
 3230          267 
 3235          267 
 3240          267 
 3245          267 
 3250          267 
 3255          267 
 3260          267 
 3265          267 
 3270          267 
 3275          267 
 3280          267 
 3285          267 
 3290          267 
 3295          267 
 3300          267 
 3305          267 
 3310          267 
 3315          267 
 3320          267 
 3325          267 
 3330          267 
 3335          267 
 3340          267 
 3345          267 
 3350          267 
 3355          267 
 3360          267 
 3365          267 
 3370          267 
 3375          267 
 3380          267 
 3385          267 
 3390          267 
 3395          267 
 3400          267 
 3405          267 
 3410          267 
 3415          267 
 3420          267 
 3425          267 
 3430          267 
 3435          267 
 3440          267 
 3445          267 
 3450          267 
 3455          267 
 3460          267 
 3465          267 
 3470          267 
 3475          267 
 3480          267 
 3485          267 
 3490          267 
 3495          267 
 3500          267 
 3505          267 
 3510          267 
 3515          267 
 3520          267 
 3525          266 
 3530          267 
 3535          266 
 3540          267 
 3545          267 
 3550          266 
 3555          266 
 3560          266 
 3565          266 
 3570          266 
 3575          266 
 3580          267 
 3585          267 
 3590          266 
 3595          266 
 3600          266 
 3605          266 
 3610          266 
 3615          266 
 3620          266 
 3625          266 
 3630          266 
 3635          266 
 3640          266 
 3645          266 
 3650          266 
 3655          266 
 3660          266 
 3665          266 
 3670          266 
 3675          266 
 3680          266 
 3685          266 
 3690          266 
 3695          266 
 3700          266 
 3705          266 
 3710          266 
 3715          266 
 3720          266 
 3725          266 
 3730          266 
 3735          266 
 3740          266 
 3745          266 
 3750          266 
 3755          266 
 3760          266 
 3765          266 
